state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	age(EPI_ISL_19216501|A/northern_fulmar/Greenland/08238-1.01/2023|H5N5|North_America|2023|wild_avian|A6)	age(EPI_ISL_19776983|A/bald_eagle/USA/005188-001/2025|H5N5|North_America|2025|wild_avian|A6)	age(EPI_ISL_19216500|A/glaucous_gull/Greenland/08236-1.02/2023|H5N5|North_America|2023|wild_avian|A6)	treeLikelihood	branchRates	coalescent
720900000	-50300.860481021555	-5722.599719104924	-44578.26076191663	5.119490517374827	2020.9325642771457	114.55375452867415	5.136442383283523	8.286703081480024	0.3427724378262473	0.195074995899177	0.23435232833113886	0.2278002379434304	0.21767135418012226	0.002325401437466199	0.0021496485213174693	0.0019868868204966973	0.929371315647477	0.034932709785664456	2.481846916251266	0.9457437958405704	2.1230414357691063	-44578.26076191663	-4752.222150280621	-972.7923222740875
721200000	-50262.94801329591	-5705.830499128663	-44557.11751416724	7.676161832188775	2018.3758929623316	123.45045591562831	5.084321814178057	9.572509741937395	0.3292270329468173	0.19290731021189716	0.24119922349760028	0.23666643334367862	0.20744258842877658	0.0026177862653407958	0.0029058551529892777	0.0018409045393733383	1.137623592236597	0.07551892735800153	2.3154010270726313	0.988486520781515	2.3100389044131306	-44557.11751416724	-4752.222150280621	-955.7190854593613
721500000	-50283.605858143696	-5685.111268888284	-44598.49458925541	6.651095447335815	2019.4009593471847	114.06659150538529	4.711620587010431	8.680665555671272	0.32590036385191157	0.20044653469930995	0.24345454900031718	0.23019855244845436	0.23355835118414978	0.0026735842498355348	0.002676983737997018	0.0019497796491696247	1.0490007486465711	0.019990101183263897	2.4137217664558905	0.9690276638706048	2.401897752491367	-44598.49458925541	-4752.222150280621	-935.1660972584206
721800000	-50212.47478057954	-5652.8971088398175	-44559.577671739724	5.653278817620985	2020.3987759768995	107.44962068217245	4.486708766441432	8.976255780323559	0.3272971314915191	0.20192903674697735	0.229886449658033	0.24088738210346375	0.2347342861687368	0.0031261556533774557	0.003598521233397789	0.002169218576895148	1.2579676288848125	-0.022100920496132534	2.463675650140198	0.9095820685721273	2.221686570083157	-44559.577671739724	-4752.222150280621	-902.7979974907881
722100000	-50240.727467506826	-5695.157250363997	-44545.57021714283	5.3925391611541045	2020.6595156333665	109.93732266285092	4.778671500584946	8.60790443419024	0.3266763477842675	0.1968794585359333	0.2422421015912021	0.23420209208859072	0.2702721304733259	0.002516165224628771	0.0024064536935182947	0.002050619382037986	1.0214377204834857	0.07920749197768853	2.323851961574119	0.9283765867298399	2.3419296375948826	-44545.57021714283	-4752.222150280621	-945.1802338214993
722400000	-50215.974216233655	-5667.677116597727	-44548.29709963593	5.2666918284899324	2020.7853629660306	107.90011434802072	4.803187289197077	8.561154615763026	0.32952199440041136	0.19376467354396446	0.2390716987621773	0.23764163329344015	0.2508027796675835	0.0025739370389349313	0.0023856110496107653	0.002065879959206645	1.0258975572674913	-0.007735256060132978	2.3737000613291834	1.0496708615511707	2.326344892065788	-44548.29709963593	-4752.222150280621	-917.7216277789462
722700000	-50222.91365142165	-5666.534712485551	-44556.3789389361	5.3681447749802045	2020.6839100195402	108.33177754857682	5.152385755221945	9.81635776859953	0.332447421082598	0.1989054711343195	0.2431013413497172	0.22554576643335855	0.2442173616594264	0.002577526618867451	0.0025460494487293166	0.0020388134080543577	1.0302973412258691	0.046231212866143755	2.3858674051938693	0.9370499667758772	2.262673553345754	-44556.3789389361	-4752.222150280621	-916.278273827008
723000000	-50209.57059284326	-5676.855769154239	-44532.71482368902	5.294618375643723	2020.7574364188768	109.40299035516982	4.95692249498807	8.763829523420803	0.3290409174384187	0.2015985375784596	0.23623652887019347	0.2331240161129218	0.24957955142318222	0.002901789238398647	0.003397231127891928	0.0020580137952426946	1.10826266379858	0.1180962733724188	2.345315209015584	0.9667288168842713	2.081847016518878	-44532.71482368902	-4752.222150280621	-926.7346684080857
723300000	-50227.474319755886	-5681.630636564599	-44545.843683191284	5.031212949821247	2021.0208418446991	110.23427136500159	4.353982427858068	8.764741358896742	0.33670053190061694	0.19343481216194638	0.24046769604705204	0.22939695989037798	0.23820236388695415	0.0027091233493238063	0.002694268742934235	0.0019852738511837113	0.9967031159818582	0.04003848841864874	2.497074056465316	0.979186596480711	2.1821819207760207	-44545.843683191284	-4752.222150280621	-931.7208734518385
723600000	-50205.085247200484	-5656.30248623772	-44548.782760962764	5.256105837042325	2020.7959489574782	106.00573509242582	4.556661967646114	8.342893276908958	0.3341315900671939	0.19229213782630167	0.2397270033199579	0.2338492687865403	0.2581461493640647	0.002912354716065621	0.0029581223647719723	0.0021268742300723995	1.0311249165424001	0.03446545032981227	2.215249240572921	0.9306236396963866	2.0719124828875737	-44548.782760962764	-4752.222150280621	-906.3262383920646
