state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	age(EPI_ISL_19216501|A/northern_fulmar/Greenland/08238-1.01/2023|H5N5|North_America|2023|wild_avian|A6)	age(EPI_ISL_19776983|A/bald_eagle/USA/005188-001/2025|H5N5|North_America|2025|wild_avian|A6)	age(EPI_ISL_19216500|A/glaucous_gull/Greenland/08236-1.02/2023|H5N5|North_America|2023|wild_avian|A6)	treeLikelihood	branchRates	coalescent
6000000	-50263.228623883275	-5710.925569521918	-44552.30305436136	4.902286719229099	2021.1497680752914	110.43984118147756	14.647067968618297	0.5441980342853427	8.863567936581596	0.3302957494596564	0.19666311416147386	0.23637665306981587	0.23666448330904696	0.2690830795690933	0.002459794228197503	0.0021744678352699333	0.0020370646510281085	0.864649544539884	0.08031178544028832	2.3334178134236607	1.010992536205622	2.190245593731079	-44552.30305436136	-4752.222150280621	-958.5616404015918
6300000	-50214.67331661345	-5664.153785472749	-44550.5195311407	6.237245316040922	2019.8148094784794	105.10760346254526	13.596882724572056	0.5676271103830857	9.081273814363847	0.32812745996837245	0.2004627919415273	0.24263414470605577	0.2287756033840371	0.2553594277796575	0.002720087116857682	0.002796695611474064	0.002167599240284309	1.1237763649976054	0.08949778932221758	2.3384462521587603	0.961357566131962	2.196019403196861	-44550.5195311407	-4752.222150280621	-911.7343199299023
6600000	-50282.461180455946	-5724.20253150629	-44558.25864894965	5.550479634045142	2020.5015751604753	113.16696918063037	13.73261295565326	0.43589607232951155	8.950605665271633	0.3288247863073858	0.2037561509963382	0.23519899978713746	0.23222006290913141	0.2162390452150941	0.002178358458118161	0.001985184897483764	0.0019552215333718493	0.893953643605544	-0.004454417345924147	2.399982039112292	0.7084808757625968	2.0858523706837158	-44558.25864894965	-4752.222150280621	-972.1985234940944
6900000	-50287.293926350416	-5729.996032278859	-44557.297894071555	5.050222182945128	2021.0018326115753	114.01979888285324	12.805479171039908	0.4737029860576696	8.956845260196339	0.3276187709181732	0.1981067253155111	0.2423625610221626	0.23191194274414573	0.2629695920179083	0.0024784571695948675	0.0024800859656291057	0.001957304283724811	0.9856611497643438	0.00422144348279955	2.4538277268754904	0.8296959351224232	2.2571943489794815	-44557.297894071555	-4752.222150280621	-977.8310899884322
7200000	-50336.66693984003	-5808.993336174403	-44527.67360366563	5.813680576993909	2020.2383742175266	129.37525512098753	20.296289449984993	0.5477598707429907	9.297384537919639	0.33044393368381825	0.19147243173825507	0.24402127567190496	0.23406235890601462	0.22099521865868563	0.0021153399189830077	0.0017758438355033937	0.0017617058808788236	0.8754038300028855	0.05003292682434984	2.4250788097178897	0.9700900990142196	2.087048759851416	-44527.67360366563	-4752.222150280621	-1056.4648994386382
7500000	-50298.74233436704	-5762.897521912224	-44535.844812454816	5.217259666602703	2020.8347951279177	120.37985148467709	14.412102588207585	0.49092730206567226	8.75620501007595	0.32870443853853976	0.20020464286091594	0.2420719797973522	0.22901893880318483	0.23214170381295787	0.002092714573028863	0.0016262309793915965	0.0018698495240961927	0.778762577266892	0.03988959867208144	2.386169249385929	0.895616995843452	2.0920600790557393	-44535.844812454816	-4752.222150280621	-1010.8435578328142
7800000	-50329.25504470234	-5745.752191631197	-44583.50285307114	5.883822567347523	2020.168232227173	119.24305642118074	17.158568951116788	0.5657621602142192	9.19691430598273	0.3326109840450131	0.19789975957883568	0.23900797113602854	0.23048128524011516	0.22845793951812232	0.00211688504798165	0.0016927793721288756	0.001957778181581505	0.7814712928385086	0.10215966158259653	2.42149402472182	0.49829554255109926	2.3204870551293206	-44583.50285307114	-4752.222150280621	-993.3585023175675
8100000	-50275.70300297254	-5729.991775417435	-44545.711227555104	5.230087707466837	2020.8219670870537	114.38610426518048	16.35351515030125	0.5851266364618735	8.962829625643426	0.32509403711271045	0.20519599979624684	0.2365538686760734	0.23315609441496196	0.21955273944497153	0.0023116396059890687	0.0018399091848916814	0.0019139180207548105	0.8023468525943873	0.03411364022689555	2.4262011620767923	0.907145545515633	2.43957515760808	-44545.711227555104	-4752.222150280621	-977.6130333039191
8400000	-50266.6332864266	-5734.972010690034	-44531.661275736566	4.964852540559279	2021.087202253961	115.30437599203576	16.86441837370392	0.5498288823907558	8.727068737109882	0.3269911846162694	0.19479096511861355	0.24593969642190647	0.2322781538432034	0.24494463911662312	0.002304732056106777	0.002200026987725554	0.00201566401800543	0.9586528223247832	0.039828849516327265	2.160232583374381	0.896436120800276	2.1822011445495932	-44531.661275736566	-4752.222150280621	-982.5968902759721
8700000	-50269.177236977295	-5738.084893048614	-44531.092343928685	5.983006343183703	2020.0690484513368	119.7907504146025	11.427652238084384	0.3283527449442769	8.163632961903035	0.32959023246901586	0.1947828135499723	0.2420017489806763	0.2336252050003283	0.22882269187429416	0.002176660569244969	0.002158960968107157	0.0018207530772838694	0.9509056996746539	-0.014919265172073062	2.3885116580540195	0.8536459597462227	2.101351587470492	-44531.092343928685	-4752.222150280621	-986.5205970066761
